experiment,top_n,weight_scheme,rebalance,max_weight,net_total_return,net_cagr,net_annual_volatility,net_sharpe,net_max_drawdown,benchmark_total_return,benchmark_cagr,benchmark_sharpe,excess_total_return,excess_cagr,annualized_turnover,total_transaction_cost,beat_benchmark
top10_equal_month_uncapped,10,weight_equal,month,1.0,0.1563210783631052,0.04175023994919,0.2095776713967405,0.3069286794493694,-0.2818394510379739,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.052744770539109614,-0.013168112839159599,3.0695643793369323,0.0217999999999999,False
top10_equal_month_cap40,10,weight_equal,month,0.4,0.1563210783631052,0.04175023994919,0.2095776713967405,0.3069286794493694,-0.2818394510379739,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.052744770539109614,-0.013168112839159599,3.0695643793369323,0.0217999999999999,False
top10_mixed_month_uncapped,10,weight_mixed,month,1.0,0.1554602928911106,0.041531792738312,0.2043409072048097,0.3083817850169885,-0.2737397143628803,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0536055560111042,-0.013386560050037598,3.051025345670713,0.0216683360620666,False
top10_mixed_month_cap40,10,weight_mixed,month,0.4,0.1554602928911106,0.041531792738312,0.2043409072048097,0.3083817850169885,-0.2737397143628803,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0536055560111042,-0.013386560050037598,3.051025345670713,0.0216683360620666,False
top10_risk_parity_month_uncapped,10,weight_risk_parity,month,1.0,0.1542359404365565,0.0412208792406703,0.1994244660934231,0.3094135374485006,-0.2714631585110507,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0548299084656583,-0.0136974735476793,3.032486312004495,0.0215366721241332,False
top10_risk_parity_month_cap40,10,weight_risk_parity,month,0.4,0.1542359404365565,0.0412208792406703,0.1994244660934231,0.3094135374485006,-0.2714631585110507,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0548299084656583,-0.0136974735476793,3.032486312004495,0.0215366721241332,False
top5_risk_parity_month_uncapped,5,weight_risk_parity,month,1.0,0.123525771755433,0.0333436164625897,0.2049436723299703,0.2680681075263452,-0.2981646250853104,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0855400771467818,-0.021574736325759895,4.154903415522687,0.0295080614917613,False
top5_risk_parity_month_cap40,5,weight_risk_parity,month,0.4,0.123525771755433,0.0333436164625897,0.2049436723299703,0.2680681075263452,-0.2981646250853104,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0855400771467818,-0.021574736325759895,4.154903415522687,0.0295080614917613,False
top5_mixed_month_uncapped,5,weight_mixed,month,1.0,0.1174556114612379,0.0317683401645896,0.2091673343778027,0.259378522950845,-0.3039674898997547,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0916102374409769,-0.02315001262376,4.1332150076842415,0.0293540307458807,False
top5_mixed_month_cap40,5,weight_mixed,month,0.4,0.1174556114612379,0.0317683401645896,0.2091673343778027,0.259378522950845,-0.3039674898997547,0.2090658489022148,0.0549183527883496,0.3866460675177516,-0.0916102374409769,-0.02315001262376,4.1332150076842415,0.0293540307458807,False
